Name,Position,Opposing Team,Threshold,Type,Special
Devin Vassell,[],MIL,3.5,Rebounds,
Devin Vassell,[],MIL,7.0,Rebounds+Assists,
Devin Vassell,[],MIL,2.5,3-PointersMade,
Devin Vassell,[],MIL,23.5,Points+Assists,
Devin Vassell,[],MIL,23.5,Points+Rebounds,
Devin Vassell,[],MIL,1.5,Steals,Higher 1.25x
Devin Vassell,[],MIL,0.5,Blocks,Higher 1.5x
Devin Vassell,[],MIL,1.5,Blocks+Steals,
Devin Vassell,[],MIL,2.5,FTMade,
Jeremy Sochan,[],MIL,12.0,Points,
Jeremy Sochan,[],MIL,21.5,Pts+Rebs+Asts,
Jeremy Sochan,[],MIL,3.5,Assists,
Jeremy Sochan,[],MIL,6.0,Rebounds,
Jeremy Sochan,[],MIL,9.5,Rebounds+Assists,
Jeremy Sochan,[],MIL,15.5,Points+Assists,
Jeremy Sochan,[],MIL,17.5,Points+Rebounds,
Jeremy Sochan,[],MIL,0.5,Steals,
Jeremy Sochan,[],MIL,0.5,Blocks,Higher 1.5x
Tre Jones,[],MIL,11.5,Points,
Tre Jones,[],MIL,22.5,Pts+Rebs+Asts,
Tre Jones,[],MIL,7.0,Assists,
Tre Jones,[],MIL,3.5,Rebounds,
Tre Jones,[],MIL,10.5,Rebounds+Assists,
Tre Jones,[],MIL,15.5,Points+Rebounds,
Tre Jones,[],MIL,18.5,Points+Assists,
Tre Jones,[],MIL,1.5,Blocks+Steals,Higher 1.25x
Julian Champagnie,[],MIL,8.0,Points,
Julian Champagnie,[],MIL,12.5,Pts+Rebs+Asts,
Julian Champagnie,[],MIL,3.0,Rebounds,
Julian Champagnie,[],MIL,1.5,3-PointersMade,
Julian Champagnie,[],MIL,0.5,Blocks,Higher 1.25x
Julian Champagnie,[],MIL,1.5,Blocks+Steals,Higher 1.25x
Nikola Jokic,[],GSW,0.5,TripleDoubles,Higher 1.25x
Nikola Jokic,[],GSW,26.5,Points,
Nikola Jokic,[],GSW,48.5,Pts+Rebs+Asts,
Nikola Jokic,[],GSW,9.0,Assists,
Nikola Jokic,[],GSW,13.0,Rebounds,
Nikola Jokic,[],GSW,21.5,Rebounds+Assists,
Nikola Jokic,[],GSW,35.5,Points+Assists,
Nikola Jokic,[],GSW,39.5,Points+Rebounds,
Nikola Jokic,[],GSW,1.5,Steals,Higher 1.25x
Nikola Jokic,[],GSW,58.15,FantasyPoints,
Nikola Jokic,[],GSW,2.0,Blocks+Steals,
Jamal Murray,[],GSW,23.0,Points,
Jamal Murray,[],GSW,33.0,Pts+Rebs+Asts,
Jamal Murray,[],GSW,6.5,Assists,
Jamal Murray,[],GSW,4.0,Rebounds,
Jamal Murray,[],GSW,10.5,Rebounds+Assists,
Jamal Murray,[],GSW,26.5,Points+Rebounds,
Jamal Murray,[],GSW,28.5,Points+Assists,
Jamal Murray,[],GSW,1.5,Steals,Higher 1.25x
Jamal Murray,[],GSW,1.5,Blocks+Steals,
Jamal Murray,[],GSW,0.5,Blocks,Higher 1.25x
Jamal Murray,[],GSW,2.0,Turnovers,
Michael Porter Jr.,[],GSW,0.5,DoubleDoubles,Higher 2.5x
Michael Porter Jr.,[],GSW,16.5,Points,
Michael Porter Jr.,[],GSW,25.5,Pts+Rebs+Asts,
Michael Porter Jr.,[],GSW,7.0,Rebounds,
Michael Porter Jr.,[],GSW,3.0,3-PointersMade,
Michael Porter Jr.,[],GSW,17.5,Points+Assists,
Michael Porter Jr.,[],GSW,1.5,Blocks+Steals,Higher 1.25x
Michael Porter Jr.,[],GSW,0.5,Blocks,
Aaron Gordon,[],GSW,14.0,Points,
Aaron Gordon,[],GSW,24.5,Pts+Rebs+Asts,
Aaron Gordon,[],GSW,6.0,Rebounds,
Aaron Gordon,[],GSW,9.5,Rebounds+Assists,
Aaron Gordon,[],GSW,17.5,Points+Assists,
Aaron Gordon,[],GSW,20.5,Points+Rebounds,
Aaron Gordon,[],GSW,0.5,Blocks,Higher 1.25x
Kentavious Caldwell-Pope,[],GSW,9.5,Points,
