Player,Stat,Threshold,Percentage
De'Aaron Fox,Points,30.5,34.78260869565217
Dejounte Murray,Points,21.0,33.33333333333333
Domantas Sabonis,Points,21.5,41.37931034482759
Saddiq Bey,Points,13.5,46.666666666666664
Keegan Murray,Points,16.5,40.0
Clint Capela,Points,12.5,51.724137931034484
Harrison Barnes,Points,11.5,51.724137931034484
Jalen Johnson,Points,13.0,50.0
Kevin Huerter,Points,9.5,53.57142857142857
Bogdan Bogdanovic,Points,18.5,39.285714285714285
Malik Monk,Points,13.5,46.42857142857143
Onyeka Okongwu,Points,9.5,46.666666666666664
Scottie Barnes,Points,20.5,46.666666666666664
Pascal Siakam,Points,22.5,36.666666666666664
OG Anunoby,Points,14.0,42.30769230769231
Jakob Poeltl,Points,10.0,53.333333333333336
Alperen Sengun,Points,23.5,27.586206896551722
Tyrese Maxey,Points,28.5,37.93103448275862
Fred VanVleet,Points,18.5,39.285714285714285
Tobias Harris,Points,21.5,30.0
Jalen Green,Points,20.0,37.93103448275862
De'Anthony Melton,Points,15.0,27.586206896551722
Paul Reed,Points,8.5,20.0
Kelly Oubre Jr.,Points,14.5,31.57894736842105
Nikola Jokic,Points,27.5,46.875
Shai Gilgeous-Alexander,Points,32.5,46.42857142857143
Jamal Murray,Points,23.5,15.789473684210526
Chet Holmgren,Points,17.5,44.827586206896555
Michael Porter Jr.,Points,17.0,48.484848484848484
Jalen Williams,Points,17.5,50.0
Luguentz Dort,Points,10.5,42.857142857142854
Kevin Durant,Points,26.5,80.76923076923077
Brandon Miller,Points,15.5,42.30769230769231
Devin Booker,Points,25.5,66.66666666666666
Miles Bridges,Points,20.5,44.44444444444444
Jusuf Nurkic,Points,12.5,46.42857142857143
Terry Rozier,Points,21.5,63.1578947368421
Grayson Allen,Points,12.5,52.0
Nick Richards,Points,10.0,34.78260869565217
Bradley Beal,Points,14.5,50.0
Devin Vassell,Points,22.5,24.0
Jeremy Sochan,Points,13.5,36.666666666666664
Zach Collins,Points,15.0,26.666666666666668
Malaki Branham,Points,12.0,26.666666666666668
Paolo Banchero,Rebounds,7.0,36.666666666666664
Franz Wagner,Rebounds,5.5,60.0
Julius Randle,Rebounds,9.5,46.666666666666664
Jalen Suggs,Rebounds,3.5,50.0
Cole Anthony,Rebounds,4.0,53.333333333333336
Isaiah Hartenstein,Rebounds,9.5,16.666666666666664
Wendell Carter Jr.,Rebounds,6.5,60.0
Donte DiVincenzo,Rebounds,2.5,50.0
Moritz Wagner,Rebounds,4.5,36.666666666666664
Josh Hart,Rebounds,6.0,43.333333333333336
Kyle Kuzma,Rebounds,6.0,40.0
Mikal Bridges,Rebounds,5.0,41.935483870967744
Jordan Poole,Rebounds,2.5,44.827586206896555
Cameron Johnson,Rebounds,4.5,60.86956521739131
Daniel Gafford,Rebounds,8.0,40.74074074074074
Spencer Dinwiddie,Rebounds,3.5,58.620689655172406
Deni Avdija,Rebounds,5.5,46.666666666666664
Dorian Finney-Smith,Rebounds,4.5,50.0
Bilal Coulibaly,Rebounds,4.0,37.93103448275862
Day'Ron Sharpe,Rebounds,8.0,35.483870967741936
Dennis Smith Jr.,Rebounds,2.5,52.94117647058824
Royce O'Neale,Rebounds,3.5,63.33333333333333
Donovan Mitchell,Rebounds,5.0,45.45454545454545
Giannis Antetokounmpo,Rebounds,11.0,43.333333333333336
Khris Middleton,Rebounds,4.5,46.15384615384615
Brook Lopez,Rebounds,5.0,48.38709677419355
Dejounte Murray,Rebounds,4.5,43.333333333333336
